idx,e_max,offset,in_0,in_1,in_2,in_3,in_4,in_5,in_6,in_7,out_0,out_1,out_2,out_3,out_4,out_5,out_6,out_7
765,54,-22,7533,6875,5558,2924,5849,3507,7015,5838,6125,5467,4150,1516,4441,2099,5607,4430
766,57,-25,3484,6969,5746,3300,6600,5009,1826,3653,1884,5369,4146,1700,5000,4096,226,2053
767,50,-18,7307,6422,4653,1115,2230,4460,728,1457,6155,5270,4096,0,1078,4096,0,305
768,54,-22,2914,5829,3467,6934,5676,3161,6322,4452,1506,4421,2059,5526,4268,1753,4914,4096
769,50,-18,713,1426,2853,5706,3220,6440,4688,1184,0,274,1701,4554,2068,5288,4096,32
770,40,-8,2369,4739,1286,2573,5147,2102,4205,219,1857,4227,774,2061,4635,1590,4096,0
771,54,-22,438,877,1754,3509,7019,5846,3500,7001,0,0,346,2101,5611,4438,2092,5593
772,53,-21,5810,3428,6857,5523,2854,5708,3225,6450,4466,2084,5513,4179,1510,4364,1881,5106
773,50,-18,4708,1225,2451,4902,1612,3225,6451,4711,4096,73,1299,4096,460,2073,5299,4096
774,51,-19,1231,2462,4924,1657,3314,6628,5065,1938,15,1246,4096,441,2098,5412,4096,722
775,60,-28,3876,7752,7312,6433,4675,1158,2317,4635,2084,5960,5520,4641,4096,0,525,4096
776,55,-23,1079,2158,4316,440,881,1762,3525,7051,0,686,4096,0,0,290,2053,5579
777,56,-24,5910,3629,7258,6325,4458,724,1449,2898,4374,2093,5722,4789,4096,0,0,1362
778,53,-21,5796,3401,6802,5412,2633,5266,2341,4683,4452,2057,5458,4096,1289,4096,997,4096
779,45,-13,1174,2349,4698,1204,2408,4817,1442,2885,342,1517,4096,372,1576,4096,610,2053
780,52,-20,5770,3348,6696,5200,2208,4416,641,1283,4490,2068,5416,4096,928,4096,0,3
781,40,-8,2566,5132,2073,4146,100,201,402,804,2054,4620,1561,4096,0,0,0,292
782,50,-18,1608,3217,6435,4679,1167,2335,4671,1151,456,2065,5283,4096,15,1183,4096,0
783,63,-31,2302,4604,1016,2032,4065,8131,8070,7948,318,4096,0,48,2081,6147,6086,5964
784,56,-24,7705,7219,6246,4300,408,816,1633,3267,6169,5683,4710,4096,0,0,97,1731
785,48,-16,6535,4879,1566,3132,6265,4339,486,973,5511,4096,542,2108,5241,4096,0,0
786,60,-28,1947,3895,7790,7389,6586,4980,1768,3536,155,2103,5998,5597,4794,4096,0,1744
787,58,-26,7072,5952,3712,7424,6656,5120,2049,4098,5408,4288,2048,5760,4992,4096,385,4096
788,9,23,4,9,18,36,72,145,291,582,1476,1481,1490,1508,1544,1617,1763,2054
789,36,-4,1164,2328,4656,1120,2241,4482,773,1546,908,2072,4400,864,1985,4226,517,1290
790,48,-16,3092,6185,4179,167,335,670,1341,2682,2068,5161,4096,0,0,0,317,1658
