cycle,stream,A,B,OP,E_est,MODE,RESULT,ACC,PE_ACC,UF,OVF,RO,REGION
255,A,083d,0a1f,MUL,41,0,0a5c,00009970,00009970,0,0,0,STABLE
256,B,0813,0c7b,MUL,50,2,0c8f,0000a3cc,00009970,0,0,0,SATURATE
257,C,05c0,07c0,MUL,22,2,0580,0000a3cc,0000a3cc,0,0,0,STABLE
258,A,082c,0930,MUL,37,0,095e,0000a3cc,0000a3cc,0,0,0,STABLE
259,B,081f,0bd8,MUL,48,3,0c01,0000ad2a,0000a3cc,0,0,0,SATURATE
260,C,0580,07c0,MUL,21,2,0540,0000ad2a,0000ad2a,0,0,0,STABLE
261,A,0821,073f,MUL,29,0,0760,0000ad2a,0000ad2a,0,0,0,STABLE
262,B,083b,0b83,MUL,47,0,0bc0,0000b48a,0000ad2a,0,0,0,TRANSITION
263,C,0540,0840,MUL,22,2,0580,0000b48a,0000b48a,0,0,0,STABLE
264,A,080f,0500,ADD,32,0,080f,0000b48a,0000b48a,0,0,0,STABLE
265,B,0818,0b1f,MUL,45,2,0b41,0000bc99,0000b48a,0,0,0,TRANSITION
266,C,0580,07c0,MUL,21,2,0540,0000bc99,0000bc99,0,0,0,STABLE
267,A,083d,0610,SUB,32,0,082d,0000bc99,0000bc99,0,0,0,STABLE
268,B,0803,0b7a,MUL,45,3,0b7f,0000c4c6,0000bc99,0,0,0,TRANSITION
269,C,0540,07c0,MUL,20,2,0500,0000c4c6,0000c4c6,0,0,0,STABLE
270,A,082b,071f,MUL,29,0,074f,0000c4c6,0000c4c6,0,0,0,STABLE
271,B,081f,0b97,MUL,47,0,0bc0,0000cc15,0000c4c6,0,0,0,TRANSITION
272,C,0500,07c0,MUL,19,2,04c0,0000cc15,0000cc15,0,0,0,TRANSITION
273,A,081d,0800,MUL,32,0,081d,0000cc15,0000cc15,0,0,0,STABLE
274,B,083a,0bfa,MUL,48,2,0c34,0000d432,0000cc15,0,0,0,SATURATE
275,C,04c0,04c0,ADD,19,2,04c0,0000d432,0000d432,0,0,0,TRANSITION
276,A,082b,0910,MUL,37,0,0942,0000d432,0000d432,0,0,0,STABLE
277,B,0817,0c17,MUL,48,3,0c36,0000dd74,0000d432,0,0,0,SATURATE
278,C,04c0,07c0,MUL,18,2,0480,0000dd74,0000dd74,0,0,0,TRANSITION
279,A,081c,0a1f,MUL,41,0,0a44,0000dd74,0000dd74,0,0,0,STABLE
280,B,083a,0c79,MUL,50,0,0cb3,0000e7b8,0000dd74,0,0,0,SATURATE
281,C,0480,07c0,MUL,17,2,0440,0000e7b8,0000e7b8,0,0,0,TRANSITION
282,A,0826,0930,ADD,33,0,084b,0000e7b8,0000e7b8,0,0,1,STABLE
283,B,0817,0bcd,MUL,47,2,0be8,0000f003,0000e7b8,0,0,0,TRANSITION
284,C,0440,07c0,MUL,16,2,0400,0000f003,0000f003,0,0,0,TRANSITION
285,A,0836,073f,SUB,16,0,0400,0000f003,0000f003,0,0,0,TRANSITION
286,B,0839,0bad,MUL,31,3,07ee,0000f003,0000f003,0,0,0,STABLE
287,C,0400,0840,MUL,17,2,0440,0000f003,0000f003,0,0,0,TRANSITION
288,A,0836,0500,MUL,20,0,0536,00000000,0000f003,0,0,0,STABLE
289,B,080d,032d,MUL,13,0,0341,00000536,00000000,0,0,0,COLLAPSE
290,C,0800,07c0,MUL,31,0,07c0,00000536,00000536,0,0,0,STABLE
291,A,0835,0610,MUL,25,0,0649,00000cf6,00000536,0,0,0,STABLE
292,B,082d,036a,MUL,14,2,039a,0000133f,00000cf6,0,0,0,COLLAPSE
293,C,07c0,07c0,MUL,30,0,0780,0000133f,0000133f,0,0,0,STABLE
294,A,0829,071f,MUL,29,0,074d,00001abf,0000133f,0,0,0,STABLE
295,B,082d,0392,MUL,15,3,03c5,0000220c,00001abf,0,0,0,COLLAPSE
296,C,0780,07c0,MUL,29,0,0740,0000220c,0000220c,0,0,0,STABLE
297,A,0808,0800,MUL,32,0,0808,0000294c,0000220c,0,0,0,STABLE
298,B,082a,03d0,MUL,16,0,0402,00003154,0000294c,0,0,0,TRANSITION
299,C,0740,0740,ADD,29,0,0740,00003154,00003154,0,0,0,STABLE
300,A,0800,0910,ADD,32,0,0810,00003894,00003154,0,0,0,STABLE
301,B,0812,0401,MUL,16,2,0413,000040a4,00003894,0,0,0,TRANSITION
302,C,0740,07c0,MUL,28,0,0700,000040a4,000040a4,0,0,0,STABLE
303,A,0806,0a1f,SUB,28,0,0700,000047a4,000040a4,0,0,0,STABLE
304,B,0810,044d,MUL,31,3,07ce,000047a4,000047a4,0,0,0,STABLE
305,C,0700,07c0,MUL,27,0,06c0,000047a4,000047a4,0,0,0,STABLE
306,A,0836,0930,MUL,37,0,0967,00004e64,000047a4,0,0,0,STABLE
307,B,0801,03ec,MUL,15,0,03ed,000057cb,00004e64,0,0,0,COLLAPSE
308,C,06c0,07c0,MUL,26,0,0680,000057cb,000057cb,0,0,0,STABLE
309,A,0832,073f,MUL,29,0,0771,00005e4b,000057cb,0,0,0,STABLE
310,B,080d,03a5,MUL,14,2,03b9,000065bc,00005e4b,0,0,0,COLLAPSE
311,C,0680,0840,MUL,27,0,06c0,000065bc,000065bc,0,0,0,STABLE
